Date,news_title,close_price,sentiment
2022-12-02 09:00:00,하락한 비트코인,22877000.0,1
2022-12-02 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",22877000.0,2
2022-12-02 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",22877000.0,2
2022-12-02 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",22877000.0,2
2022-12-02 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",22877000.0,0
2022-12-02 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),22877000.0,1
2022-12-02 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",22877000.0,2
2022-12-02 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",22877000.0,0
2022-12-02 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",22877000.0,2
2022-12-02 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,22877000.0,0
2022-12-03 09:00:00,하락한 비트코인,22830000.0,1
2022-12-03 09:00:00,"비트코인, '美 FOMC 여파' 한때 석달 만에 2만5천달러 하회",22830000.0,2
2022-12-03 09:00:00,"美 법무부, 2011년 비트코인 64만개 해킹한 러시아인 2명 기소",22830000.0,1
2022-12-03 09:00:00,"""매달 10~14% 수익 주겠다""…억대 비트코인 투자사기 50대 집유",22830000.0,0
2022-12-03 09:00:00,"비트코인, '미 FOMC 여파' 한때 석달 만에 2만5천달러 하회",22830000.0,1
2022-12-03 09:00:00,금융당국 등록사업자까지…코인예치서비스 잇단 출금 중단(종합),22830000.0,2
2022-12-03 09:00:00,"美 SEC, 바이낸스·CEO 제소…비트코인, 2만6천달러 하회(종합2보)",22830000.0,2
2022-12-03 09:00:00,"美 SEC, 바이낸스 이어 코인베이스도 제소…비트코인은 반등(종합)",22830000.0,1
2022-12-03 09:00:00,"미 SEC, 바이낸스·CEO 제소, 비트코인 하락",22830000.0,0
2022-12-03 09:00:00,챗GPT에 밀린 비트코인…올해 들어 월 기준 첫 하락,22830000.0,1
